"GeneName"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"ELF3"	0	0	0.0484050675143568	-39.071769215362	-1.89127162677497	4685.37055162332
"LBH"	0	0	0.0444484964538523	41.7841572222786	1.85724296412166	7779.32284374756
"MARCHF4"	0	0	0.0690787254048559	46.6560216462879	3.22293850778694	2192.81730716924
"TNS1"	0	0	0.0692331339989829	46.6881236952207	3.2323651239523	2183.25379127558
"F2RL1"	0	0	0.04238652265654	46.1381319799209	1.95563497649735	11797.2676904177
"TGFBI"	0	0	0.0361861976973771	44.1981622022816	1.5993634353125	51441.3262003822
"PCDH1"	0	0	0.0904319988106985	38.220268487528	3.45633527440871	1079.63687679191
"ADAM19"	0	0	0.0750076595904332	46.6747739055336	3.5009655525667	3039.68324860836
"SERPINE1"	0	0	0.0375910681820259	78.0893734310429	2.93546296093802	47037.3816170415
"TGFBR1"	0	0	0.0549323135006353	38.0188412548943	2.08846290674474	6062.11573516946
"MUC5AC"	0	0	0.0515766306357595	-47.4999516463018	-2.44988746127775	13244.50706778
"EHF"	0	0	0.0648702156531594	-43.7013667090897	-2.83491708275645	2016.42703558912
"PHLDB1"	0	0	0.0569376659894348	38.8342625365737	2.21113226925345	2278.59011946561
"NTS"	0	0	0.0562282354476903	-43.5140131233912	-2.44671617517592	5103.4451152474
"ULK1"	0	0	0.0494030348500674	41.3181874546334	2.04124385476288	9390.12565488297
"COL4A1"	0	0	0.0527889882555415	40.0719479173712	2.11535758798678	4069.20133194506
"FRMD6"	0	0	0.0597449355542699	48.9515863672487	2.92460937279055	2749.58179691681
"PLEK2"	0	0	0.0676300499416797	37.9820527370963	2.56872812349733	1711.83812971989
"GREM1"	0	0	0.0755035342484938	38.1210134958185	2.87827124806883	1435.73850967734
"LINC02086"	0	0	0.0728904402766248	45.0568569797068	3.28421414273175	1583.72810166983
"COL1A1"	0	0	0.0638347074737697	53.6816327043163	3.42675132039438	3186.00655885765
"ARHGEF18"	0	0	0.0538648912612413	39.22560852985	2.11288313811639	6362.59225781079
"ANGPTL4"	0	0	0.0810343415389302	62.1181767422592	5.03370554990787	3319.59389774167
"JUNB"	0	0	0.0645900978896952	42.1137532707402	2.72013144625958	8539.20936316226
"IL11"	0	0	0.0579167836608836	60.5125805800049	3.50469403821393	4702.22895604928
"PMEPA1"	0	0	0.0440296273081392	59.8671920633791	2.63593015453537	26916.6940594958
"VGLL3"	1.56587099162724e-302	2.3086614303465e-305	0.0625995984797747	37.3525067067715	2.33825192205699	3466.92132514433
"PGM2L1"	2.7091740380411e-292	4.14224174439747e-295	0.058894563851408	36.7154364326801	2.16233961531679	5516.53654520959
"TNS4"	7.75588562245575e-281	1.22820227735061e-283	0.0459655071281711	35.9893385631456	1.65426819826243	19496.3022515186
"NIPAL4"	7.52177163374737e-271	1.23220198226627e-273	0.0859176078478987	35.3441707739212	3.03668660426293	962.783296733685
"NRP2"	1.50422204363714e-268	2.54632683627758e-271	0.0536308249607144	35.1931374024244	1.8874369918478	4898.57132986859
"BMF"	7.61316832095434e-267	1.33031937023174e-269	0.0988982200639205	35.0806419331589	3.46941304588915	1078.5550100771
"JUN"	1.92694118483285e-266	3.47234527928161e-269	0.0660975983220772	35.053304732433	2.31693925606573	4921.8053782562
"DAPK1"	1.20061139149093e-262	2.22906062964514e-265	0.0609326257783051	-34.8025046443252	-2.12060799164039	2212.53476282609
"GPAM"	1.01060546584874e-259	1.93147989432129e-262	0.0613939348330878	34.6077536274033	2.12470617092036	2627.12527742512
"GADD45B"	1.53619473459029e-255	3.01987716077379e-258	0.072488538561256	34.3278063371869	2.4883725133965	1256.94549850865
"RAI14"	5.41415474450669e-255	1.09388808795253e-257	0.0451184869792067	34.2903230457732	1.54712749385351	6848.62008439834
"XBP1"	7.68670528342804e-246	1.59501338268042e-248	0.045553626841535	-33.669895909587	-1.53378587405865	6141.03614824052
"THBS1"	3.75957614724924e-238	8.00652376687164e-241	0.0497820968505607	33.1395631551345	1.64975694257418	7859.87229913955
"GRB10"	2.67032982221653e-235	5.83264308898931e-238	0.0484721185842888	32.9402603329342	1.59668420505533	7289.1818040923
"EPHB2"	6.37634202940279e-235	1.42756524439204e-237	0.0499450329657719	32.9131011459645	1.64384592174098	4542.18285348471
"MCL1"	3.98344314250945e-232	9.35335855009592e-235	0.0389687567402606	32.7156593711082	1.27488857162994	13671.6122097939
"NCOR2"	3.98344314250945e-232	9.22408478326906e-235	0.0505730283177	32.7160843801315	1.65455146180065	21940.585204305
"FURIN"	3.0959796192519e-228	7.43860117113984e-231	0.0499104781978544	32.4402322720631	1.61910750554814	8950.91104463712
"CHST11"	1.33774609713922e-226	3.28720441059711e-229	0.0539478908146859	32.3233479949966	1.74377644839917	2787.70199253252
"SH2B3"	1.39820323407907e-225	3.51211427770639e-228	0.066362277573518	32.2500515601493	2.14018687339489	1544.89625135691
"TUFT1"	1.21668477290029e-222	3.12260057480006e-225	0.0603933076914152	32.0390156582598	1.93494213077936	1846.03285291328
"ITGA5"	3.77021863551776e-220	9.8820780049611e-223	0.0486527812656456	31.8589911679668	1.55002852863922	3985.17211781926
"LAMC2"	5.54861602980734e-220	1.48464033998012e-222	0.0542763604804375	31.8462250288917	1.72849718960926	3064.33873273956
"TOB1"	7.75678319947666e-219	2.11783519889605e-221	0.050687941674051	-31.7627403442173	-1.60998792997571	4862.30974684571
"CEACAM6"	1.06756744360376e-217	2.97307593642722e-220	0.0472293388633547	-31.6795412525069	-1.49620378885027	14214.8706565907
