"GeneName"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"WASH7P"	0.808955179062804	0.713981464489275	0.112233408533078	-0.366514138516077	-0.0411351310412241	340.27254154526
"LOC100996442"	0.0952754175005609	0.0445759721042323	0.288125965860768	-2.00863391236008	-0.578739586059441	43.8515981117799
"LOC729737"	0.0896326301605942	0.0415100931792715	0.280626645856201	-2.03839853015604	-0.5720289424359	46.6772744085035
"DDX11L17"	0.617292901805195	0.480978125695316	0.434219889381411	-0.704730244770298	-0.306007888927893	19.3141764635509
"WASH9P"	0.748676381447317	0.635555235405449	0.102183655146738	-0.473922413508479	-0.0484271244682601	388.814811927229
"LOC100132287"	0.190158987452097	0.102903705872893	0.234110715885138	-1.63093656240878	-0.381819726188764	72.8056193033815
"MIR12136"	0.0808992025235895	0.0366261829368799	0.116621653171963	-2.08990668530993	-0.243728372615981	18859.9554776274
"LOC100133331"	0.23938079286919	0.137147560682769	0.176187117536427	-1.48649756414474	-0.261901721051582	127.937293905323
"LOC107984841"	0.394569103516215	0.261652770878661	0.392310664109828	-1.12249326192124	-0.440366077043127	27.072005030516
"LOC107984847"	0.349293851479073	0.222397548640091	0.363429379945427	-1.22017762063157	-0.443448396089417	32.7431295433622
"LOC100288069"	0.281523163798461	0.168240567062216	0.311195196103623	-1.37787926740052	-0.428789408825821	36.9135224191537
"LINC01409"	0.330738911756586	0.206845014817243	0.530573529351258	1.26228844006343	0.669736832703746	14.0330497673638
"LINC00115"	0.0190176184179769	0.00684459799011009	0.391121678769186	2.70431204261681	1.05771506602401	25.7957548796133
"LINC01128"	0.966942328174065	0.946132424586423	0.0989219306021785	0.0675643632088097	0.00668359724852226	447.965874629153
"LOC284600"	0.00814119657260098	0.00262867336502974	0.207136036193043	-3.00812229076648	-0.623090527693307	95.2892439168611
"LINC02593"	0.00154609455137001	0.000415629524184708	0.143257324383075	3.52995552794234	0.505691984124266	200.997440821434
"LOC107985728"	2.51747546498257e-12	2.35072519255184e-13	0.130754297744869	7.32716489705406	0.958058300575162	297.519748288168
"SAMD11"	2.39588418012556e-29	9.75989514756547e-31	0.0657426021297007	11.5259768174618	0.757747708066543	1803.00742720762
"NOC2L"	0.0868064221402842	0.0399242252601268	0.0473277907926764	2.05453204384284	0.0972364627478441	4387.91362132769
"KLHL17"	0.140176046335478	0.0708266781380537	0.0996750950436112	-1.80658712703437	-0.180071743591715	447.59573700166
"PLEKHN1"	8.78880627589971e-24	4.52086250854449e-25	0.107307308797743	10.34260335974	1.10983693249619	385.282038448511
"PERM1"	2.2190594636284e-08	2.86091814209942e-09	0.256675903580373	5.93938584052546	1.52449722732934	71.9396820334724
"HES4"	0.0020187812379441	0.000558022750312512	0.10146158389029	3.45123727539149	0.350168000342428	507.117362816064
"ISG15"	0.00261995273200066	0.000745655743962619	0.0652115937840791	3.37221736526213	0.219907668975092	1906.54826526845
"AGRN"	4.98948182655946e-08	6.66426721332629e-09	0.0505080230795096	-5.79917320555616	-0.292904774108304	11986.99208409
"LOC100288175"	6.83753681969636e-09	8.38217122274796e-10	0.218138521383513	6.13751612784603	1.33882869309579	89.221392987322
"LOC112267874"	0.0464528051275641	0.0190701790503482	0.384885161596233	2.34415627652254	0.9022309672962	25.4422993460468
"LOC105378948"	1.17481056367687e-06	1.82832419946436e-07	0.221557360149522	5.21599569666261	1.15564223710383	82.1329108719452
"C1orf159"	0.604041256603894	0.466991542128429	0.106408394639474	-0.727382711766874	-0.07739962664762	515.426318677429
"SDF4"	0.494620487452413	0.354415444566732	0.0550227480219448	0.926058759479614	0.0509542977763616	5056.03493639577
"B3GALT6"	0.915647772510606	0.862847900956453	0.0860839766216827	-0.17275004998474	-0.0148710112642809	1149.19537007095
"C1QTNF12"	0.682162256129292	0.554654944234433	0.537627661687406	-0.590799240075622	-0.317630013968553	13.3314666848176
"UBE2J2"	0.185247013538341	0.0996386765332089	0.0708736014382234	1.64660784687634	0.116701028264565	1503.93353558069
"LINC01786"	0.0935530964340851	0.0436373368503225	0.334985374205008	-2.01755778815895	-0.675852350646652	38.1466047621885
"SCNN1D"	2.65026989622689e-06	4.34017332975725e-07	0.185846747115735	-5.05339835926132	-0.939157646948709	119.90399894923
"ACAP3"	7.66966340536612e-08	1.03990467075433e-08	0.0734238808383756	-5.7240886091033	-0.420284799943104	1301.29351380063
"PUSL1"	0.520967552951615	0.38023547822592	0.103287175212365	0.87746250079077	0.0906306230614562	432.286368295091
"INTS11"	0.404864263615922	0.270592553300195	0.062722568377517	-1.101698996683	-0.0691013906508914	2030.47356469038
"CPTP"	0.00191274335387378	0.000525369904984716	0.0751536057369341	3.46747638339816	0.260593353020036	1032.85407725032
"TAS1R3"	0.57629399215219	0.437357827932678	0.290569288303803	0.776662650646962	0.225674313650633	52.6833386080365
"DVL1"	3.71718364774048e-31	1.42492378131044e-32	0.0610744757959698	11.8844957562062	0.72583934840972	2970.83083764095
"MXRA8"	0.0014851556042736	0.000397382321899233	0.138297441550816	3.54181616106809	0.489824113519051	226.99575448205
"AURKAIP1"	0.332513637940053	0.208408864537538	0.0613086440830525	-1.25795269544028	-0.0771233740780647	2829.64056488617
"CCNL2"	0.995767276989796	0.992896425475131	0.0498284800599247	-0.00890312799485497	-0.000443629335762588	2842.74707510119
"MRPL20-AS1"	0.899413248977106	0.841361238913711	0.0890195877484209	-0.200152597186346	-0.0178175016883043	550.904768635999
"MRPL20"	0.626277636572905	0.49146704063721	0.0602300925507551	-0.687977356728967	-0.0414369398686095	1809.09258316099
